"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"132;""Rubén García"";""Osasuna"";29;1142;2;2;1.95;2.03;0.15;0.16;0.31;0.31;0.37;0.15",
"133;""Giménez"";""Atletico Madrid"";28;2419;2;1;2.63;0.54;0.1;0.02;0.12;0.12;0.29;0.26",
"134;""Roque Mesa"";""Real Valladolid"";29;1631;2;1;1.21;0.89;0.07;0.05;0.12;0.12;0.33;0.24",
"135;""Willian José"";""Real Betis"";28;694;2;1;2.64;1.58;0.34;0.2;0.55;0.45;0.34;0.04",
"136;""Toni Kroos"";""Real Madrid"";30;2181;2;4;1.2;4.94;0.05;0.2;0.25;0.25;0.76;0.7",
"137;""Raúl García"";""Athletic Club"";35;900;2;3;4.58;1.16;0.46;0.12;0.57;0.57;0.7;0.19",
"138;""Amath Diedhiou"";""Mallorca"";28;1199;2;0;3.63;0.8;0.27;0.06;0.33;0.33;0.37;0.09",
"139;""Raíllo"";""Mallorca"";31;2767;2;3;0.66;1.72;0.02;0.06;0.08;0.08;0.22;0.19",
"140;""Nabil Fekir"";""Real Betis"";15;963;2;2;2.49;2.64;0.23;0.25;0.48;0.41;0.44;0.18",
"141;""Carles Aleñá"";""Getafe"";35;2153;2;2;2.16;1.46;0.09;0.06;0.15;0.15;0.23;0.12",
"142;""Kike García"";""Osasuna"";35;952;2;0;4.86;2.2;0.46;0.21;0.67;0.6;0.51;0.03",
"143;""Edu Expósito"";""Espanyol"";28;1162;2;2;0.61;1.95;0.05;0.15;0.2;0.2;0.35;0.24",
"144;""David García"";""Osasuna"";32;2685;2;0;0.53;0.34;0.02;0.01;0.03;0.03;0.17;0.16",
"145;""Mikel Merino"";""Real Sociedad"";33;2508;2;9;4.8;7.29;0.17;0.26;0.43;0.41;0.63;0.39",
"146;""Giovani Lo Celso"";""Villarreal"";22;1143;2;3;3.04;3.44;0.24;0.27;0.51;0.51;0.64;0.35",
"147;""Óscar Rodríguez"";""Celta Vigo"";33;1777;2;0;3.27;1.93;0.17;0.1;0.26;0.26;0.37;0.23",
"148;""Gonçalo Paciência"";""Celta Vigo"";25;616;2;0;1.96;0.59;0.29;0.09;0.37;0.37;0.42;0.09",
"149;""Bryan Gil Salvatierra"";""Sevilla"";17;924;2;2;3.71;0.82;0.36;0.08;0.44;0.44;0.61;0.18",
"150;""Samu Sáiz"";""Girona"";8;214;2;0;1.58;0.26;0.66;0.11;0.77;0.15;0.6;0.45",
"151;""Yangel Herrera"";""Girona"";20;961;2;2;3.06;1.8;0.29;0.17;0.46;0.46;0.49;0.25",
"152;""Frenkie de Jong"";""Barcelona"";33;2542;2;4;2.69;4.76;0.1;0.17;0.26;0.26;1.03;0.84",
"153;""Arnaut Danjuma Groeneveld"";""Villarreal"";10;476;2;0;3;0.35;0.57;0.07;0.63;0.49;0.51;0.04",
"154;""Rodrigo Sánchez"";""Real Betis"";30;1625;2;3;1.62;2.6;0.09;0.14;0.23;0.23;0.36;0.18",
"155;""Miguel Gutiérrez"";""Girona"";34;2407;2;3;0.96;3.6;0.04;0.13;0.17;0.17;0.44;0.36",
"156;""Reinier"";""Girona"";18;628;2;1;1.93;0.99;0.28;0.14;0.42;0.42;0.52;0.18",
"157;""Gavi"";""Barcelona"";36;2553;2;4;2.96;3.83;0.1;0.13;0.24;0.24;0.68;0.5",
"158;""Fran García"";""Rayo Vallecano"";38;3409;2;3;1.21;1.46;0.03;0.04;0.07;0.07;0.22;0.18",
"159;""Gastón Álvarez"";""Getafe"";22;1492;2;0;1.03;0.19;0.06;0.01;0.07;0.07;0.14;0.12",
"160;""Lucas Robertone"";""Almeria"";37;2896;2;7;2.37;7.52;0.07;0.23;0.31;0.31;0.41;0.22",
"161;""André Almeida"";""Valencia"";34;2573;2;4;1.57;3.64;0.05;0.13;0.18;0.18;0.33;0.25",
